idx,specimen,measurement,start_time,end_time
247,FOF2-9,24.1.S.041E,2024-04-11 01:26:10.321020,2024-04-11 01:32:48.521020
248,FOF2-9,24.1.S.041E,2024-04-11 01:36:32.605998,2024-04-11 01:36:40.505998
249,FOF2-9,24.1.S.041E,2024-04-11 02:36:07.858985,2024-04-11 02:36:15.758985
250,FOF2-9,24.1.S.041E,2024-04-11 02:37:33.962964,2024-04-11 02:37:41.862964
251,FOF2-9,24.1.S.041E,2024-07-05 23:33:32.605995,2024-07-05 23:33:37.755995
252,FOF2-9,24.1.S.041E,2024-07-05 23:33:50.070998,2024-07-05 23:33:55.220998
253,FOF2-9,24.1.S.041E,2024-07-05 23:35:27.257998,2024-07-05 23:35:43.357998
254,FOF2-21,24.1.S.042E,2024-04-11 19:01:37.994989,2024-04-11 19:01:45.894989
255,FOF2-21,24.1.S.042E,2024-04-11 19:02:15.951975,2024-04-11 19:02:23.851975
256,FOF2-21,24.1.S.042E,2024-04-11 19:02:46.365972,2024-04-11 19:02:54.265972
257,FOF2-21,24.1.S.042E,2024-04-11 19:10:28.380968,2024-04-11 19:10:36.280968
258,FOF2-21,24.1.S.042E,2024-04-11 19:24:55.541985,2024-04-11 19:25:03.441985
259,FOF2-21,24.1.S.042E,2024-04-11 19:40:09.079979,2024-04-11 19:40:16.979979
260,FOF2-21,24.1.S.042E,2024-04-11 19:54:55.616993,2024-04-11 19:55:03.516993
261,FOF2-21,24.1.S.042E,2024-04-11 21:06:48.468997,2024-04-11 21:06:56.918997
262,FOF2-21,24.1.S.042E,2024-04-11 21:11:02.362008,2024-04-11 21:11:09.312008
263,FOF2-21,24.1.S.042E,2024-04-11 21:11:17.370979,2024-04-11 21:11:25.270979
264,FOF2-21,24.1.S.042E,2024-04-11 21:12:02.375965,2024-04-11 21:12:10.275965
265,FOF2-21,24.1.S.042E,2024-07-06 00:17:10.789018,2024-07-06 00:17:15.939018
266,FOF2-21,24.1.S.042E,2024-07-06 00:17:27.626987,2024-07-06 00:17:32.776987
267,FOF2-12,24.1.S.043E,2024-04-11 20:26:49.311984,2024-04-11 20:26:57.211984
268,FOF2-12,24.1.S.043E,2024-04-11 20:27:10.855983,2024-04-11 20:27:18.755983
269,FOF2-12,24.1.S.043E,2024-04-11 20:34:43.031966,2024-04-11 20:34:50.931966
270,FOF2-12,24.1.S.043E,2024-04-11 20:48:47.497995,2024-04-11 20:48:55.397995
271,FOF2-12,24.1.S.043E,2024-04-11 20:53:53.543006,2024-04-11 20:54:05.743006
272,FOF2-12,24.1.S.043E,2024-04-11 20:54:15.353992,2024-04-11 20:54:25.753992
273,FOF2-12,24.1.S.043E,2024-04-11 20:55:30.913992,2024-04-11 20:55:39.563992
274,FOF2-24,24.1.S.044E,2024-04-11 22:14:53.081000,2024-04-11 22:15:00.981000
275,FOF2-24,24.1.S.044E,2024-04-11 22:15:17.895994,2024-04-11 22:15:25.795994
276,FOF2-24,24.1.S.044E,2024-04-11 22:16:09.043976,2024-04-11 22:16:16.943976
